,Amitabh Bachchan,Madhuri Dixit,Gulshan Grover,Rekha,Hrithik Roshan,Kajol,Dharmendra,Sridevi,Juhi Chawla,Hema Malini,Sanjay Dutt,Kareena Kapoor,Karisma Kapoor,Preity Zinta,Jackie Shroff,Salman Khan,Twinkle Khanna,Tabu,Shakti Kapoor,Urmila Matondkar,Nana Patekar,Sonali Bendre,Fardeen Khan,Aftab Shivdasani,Tinnu Anand,Raj Babbar,Aruna Irani,Abhishek Bachchan,Mohnish Behl,Manoj Bajpayee,Bipasha Basu,Jaya Bachchan,Bhagyashree Patwardhan,Jaspal Bhatti,Rahul Bose,Mithun Chakraborty,Mahima Chaudhry,Bhoomika Chawla,Randhir Kapoor,Nandita Das,Danny Denzongpa,Bobby Deol,Esha Deol,Sunny Deol,Mukul Dev,Rahul Dev,Prabhu Deva,Ajay Devgn,Poonam Dhillon,Avtar Gill,Vikram Gokhale,Govinda,Milind Gunaji,Kamal Haasan,Vrajesh Hirjee,Randeep Hooda,Jaaved Jaaferi,Farida Jalal,Jaya Prada,Jeetendra,Sharman Joshi,Kader Khan,Dimple Kapadia,Anil Kapoor,Annu Kapoor,Rajat Kapoor,Rishi Kapoor,Supriya Karnik,Kunal Kemmu,Aamir Khan,Arbaaz Khan,Arshad Warsi,Feroz Khan,Irrfan Khan,Saif Ali Khan,Shah Rukh Khan,Sohail Khan,Akshaye Khanna,Mukesh Khanna,Vinod Khanna,Kulbhushan Kharbanda,Sachin Khedekar,Anupam Kher,Manisha Koirala,Isha Koppikar,Atul Kulkarni,Akshay Kumar,Johny Lever,Madhavan,Pawan Malhotra,Sanjay Mishra,Rani Mukerji,Govind Namdeo,Nassar,Neelam Kothari,Manoj Pahwa,Chunky Pandey,Ameesha Patel,Vinay Pathak,Prakash Raj,Amrish Puri,Om Puri,Vijay Raaz,Aishwarya Rai Bachchan,Rajinikanth,Paresh Rawal,Fatima Sana Shaikh,Raima Sen,Sushmita Sen,Naseeruddin Shah,Farooq Shaikh,Kim Sharma,Rajesh Sharma,Jimmy Shergill,Shilpa Shetty Kundra,Suniel Shetty,Saurabh Shukla,Chandrachur Singh,Neetu Singh,Raveena Tandon,Mukesh Tiwari,Ashish Vidyarthi,Gracy Singh,Tusshar Kapoor,Arjun Rampal,Aashish Chaudhary,Yashpal Sharma,Alia Bhatt,Farhan Akhtar,Rajpal Naurang Yadav,Vivek Oberoi,Lara Dutta,Dia Mirza,Riya Sen,Amrita Arora,Aarti Chhabria,Amrita Rao,Sameera Reddy,Boman Irani,Neha Dhupia,Katrina Kaif,Priyanka Chopra Jonas,Konkona Sen Sharma,Koena Mitra,Ranvir Shorey,Manoj Joshi,Rimi Sen,Samir Soni,Uday Tikekar,Sunny Leone,Riteish Deshmukh,Genelia D'Souza,Zayed Khan,John Abraham,Mallika Sherawat,Shriya Saran,Shahid Kapoor,Celina Jaitly,Sonu Sood,Imran Khan,Emraan Hashmi,Vipin Sharma,Gul Panag,Iqbal Khan,Nayanthara,Raju Srivastava,Kunal Kapoor,Nawazuddin Siddiqui,Shruti Haasan,Ranbir Kapoor,Karishma Tanna,Prabhas,Shreyas Talpade,Soha Ali Khan,Chitrangda Singh,Neil Nitin Mukesh,Ayesha Takia,Vidya Balan,Ashwini Kalsekar,Arjun Kapoor,Asin Thottumkal,Upendra Limaye,Sneha Ullal,Vatsal Sheth,Sophiya Chaudhary,Abhay Deol,Tanushree Dutta,Nimrat Kaur,Kay Kay Menon,Tamannaah Bhatia,Manjari Fadnnis,Minissha Lamba,Sonam Kapoor,Deepika Padukone,Kangana Ranaut,Govardhan Asrani,Sunny Singh,Daisy Shah,Krishna Abhishek,Ileana D'Cruz,Radhika Apte,Aditi Rao Hydari,Nushrratt Bharuccha,Kajal Aggarwal,Jacqueline Fernandez,Pankaj Tripathi,Fawad Khan,Mahie Gill,Bruna Abdullah,Prateik Babbar,Anushka Sharma,Adah Sharma,Aditya Roy Kapoor,Richa Chadha,Kalki Koechlin,Nivetha Thomas,Sidharth Malhotra,Varun Dhawan,Amy Jackson,Esha Gupta,Sudesh Lehri,Sana Khan,Shraddha Kapoor,Samantha Ruth Prabhu,Lisa Haydon,Nargis Fakhri,Kriti Kharbanda,Kainaat Arora,Zareen Khan,Tahir Raj Bhasin,Sushant Singh Rajput,Rajkummar Rao,Ranveer Singh,Sonakshi Sinha,Taapsee Pannu,Sunny Kaushal,Anil Charanjeett,Yami Gautam,Kartik Aaryan,Parineeti Chopra,Sonalee Kulkarni,Vidyut Jammwal,Mouni Roy,Saqib Saleem,Freddy Daruwala,Ayushmann Khurrana,Huma Qureshi,Pulkit Samrat,Lavanya Tripathi,Pooja Hegde,Kriti Sanon,Vikrant Massey,Rhea Chakraborty,Amyra Dastur,Vaani Kapoor,Vicky Kaushal,Urvashi Rautela,Tiger Shroff,Kapil Sharma,Bhumi Pednekar,Kiara Advani,Nora Fatehi,Shriya Pilgaonkar,Mrunal Thakur,Athiya Shetty,Sanya Malhotra,Alaya F,Disha Patani,Sobhita Dhulipala,Siddhant Chaturvedi,Mehreen Pirzada,Nidhhi Agerwal,Rashmika Mandanna,Sara Ali Khan,Janhvi Kapoor
Vikram Gokhale,6,1,8,0,1,0,5,2,1,2,3,0,0,1,5,3,0,0,10,2,4,0,2,2,4,2,8,0,5,2,2,0,2,0,0,6,0,0,0,0,4,0,1,3,1,1,0,3,0,6,0,4,3,2,2,1,2,2,2,2,3,5,2,2,1,3,1,4,0,1,3,0,0,1,0,1,1,0,0,2,2,5,10,2,0,3,3,2,0,4,1,2,7,1,3,2,2,1,2,0,3,3,1,1,0,10,0,0,2,4,1,0,1,3,1,2,2,1,0,2,2,3,0,1,0,2,4,0,0,3,2,0,0,1,0,0,1,1,0,1,2,0,1,0,1,6,0,1,2,0,1,1,0,1,0,0,0,0,1,0,0,2,2,0,0,1,1,2,1,0,0,0,5,0,0,0,0,2,4,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Govinda,4,3,33,1,1,0,9,1,9,3,9,2,10,2,6,4,3,5,49,4,0,3,1,1,7,6,25,1,10,1,1,0,1,0,0,4,1,0,0,0,5,0,2,1,1,2,1,2,2,14,4,0,2,0,1,0,2,2,3,7,0,44,3,4,1,1,4,4,0,1,1,0,0,0,2,1,3,2,1,2,5,0,25,3,2,0,4,29,1,1,5,4,3,0,14,2,4,1,1,0,3,7,0,2,2,15,0,0,2,1,0,2,1,1,5,4,3,3,0,10,0,6,1,3,0,1,1,0,0,6,0,4,0,0,1,3,1,0,2,0,2,2,0,0,2,3,0,0,1,1,1,1,0,2,0,0,1,2,0,1,1,0,0,0,0,5,0,2,0,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,23,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milind Gunaji,2,1,4,0,0,1,3,0,0,1,2,3,0,0,6,2,1,2,11,0,1,1,1,0,1,2,3,1,2,5,3,1,1,0,0,2,1,0,0,1,1,2,2,2,0,2,0,3,0,3,3,2,0,1,0,0,0,1,1,0,1,2,0,3,1,2,0,3,0,1,1,1,0,1,3,2,0,1,2,0,2,0,3,2,1,5,5,2,1,1,2,2,10,1,0,1,1,1,1,0,4,9,2,1,0,5,0,1,1,3,0,1,2,1,1,3,2,0,0,3,4,10,1,1,2,0,6,0,0,6,0,3,1,1,0,0,0,1,1,0,0,1,0,0,0,7,1,0,1,1,0,0,0,2,0,2,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,3,1,0,3,1,0,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kamal Haasan,2,0,3,0,0,0,1,24,0,4,1,0,0,0,0,0,0,1,3,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,1,5,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,1,4,0,0,1,0,19,0,1,0,0,0,5,2,4,1,2,16,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Vrajesh Hirjee,3,0,4,0,3,1,0,0,4,0,1,7,2,0,5,1,0,2,7,0,3,0,1,3,4,1,0,2,4,2,0,1,0,1,0,2,1,0,0,1,0,1,2,3,0,3,0,6,1,8,2,1,0,0,0,1,5,4,0,1,3,1,2,2,2,4,3,2,4,1,0,7,0,5,2,0,4,1,1,0,3,1,8,0,4,0,4,11,1,0,20,1,4,0,0,5,6,4,0,3,1,3,4,0,0,2,0,0,0,1,1,1,1,4,1,7,4,2,0,2,14,7,2,9,0,1,3,0,0,10,0,1,1,1,3,2,0,1,1,1,0,2,0,1,0,8,2,1,3,0,3,1,0,2,1,0,3,3,1,1,0,0,1,0,0,1,1,0,0,0,1,0,7,1,1,2,2,2,6,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randeep Hooda,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,4,1,0,0,2,0,0,0,1,0,2,1,2,0,0,3,1,0,1,0,0,0,2,1,0,1,0,1,1,3,0,0,0,1,0,2,2,0,0,0,0,1,0,0,2,0,2,1,0,2,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,0,2,5,1,0,1,0,1,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Jaaved Jaaferi,2,2,7,1,1,0,2,0,3,1,4,3,0,1,6,0,0,2,2,0,1,0,0,2,6,2,2,1,1,0,0,0,0,0,2,1,0,0,1,3,3,0,0,1,1,0,0,3,0,3,2,2,0,0,5,0,0,0,0,1,2,4,2,2,1,0,1,0,1,3,0,5,0,0,4,2,1,0,3,0,3,0,4,1,1,0,5,7,1,3,9,1,0,0,0,3,4,0,3,0,4,6,5,0,0,7,0,0,0,5,1,2,0,3,0,3,1,0,1,2,1,1,0,1,1,4,1,0,0,4,0,0,0,1,1,1,1,0,4,3,4,0,0,0,1,3,0,0,1,0,3,0,0,0,1,0,0,2,3,0,0,1,1,0,0,1,0,0,0,1,1,0,2,3,1,1,2,1,0,1,0,0,0,1,1,0,0,0,2,0,0,2,0,1,1,5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Farida Jalal,14,6,12,8,3,8,6,2,4,4,5,2,9,5,4,7,1,3,12,6,1,3,2,0,7,4,16,2,9,2,1,4,1,1,0,3,2,1,2,0,13,3,0,9,1,3,0,7,1,11,2,2,1,1,4,0,0,0,0,6,1,12,6,7,3,1,7,2,1,1,1,0,2,1,2,9,1,2,4,3,10,3,18,5,1,0,4,21,1,1,4,6,9,0,2,2,1,1,0,0,14,10,0,0,0,9,0,1,2,6,2,0,0,1,2,1,1,3,2,4,6,9,0,1,1,0,1,1,0,4,0,0,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,14,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jaya Prada,9,2,9,2,0,0,18,14,0,1,6,0,1,0,4,0,0,1,29,1,1,0,0,1,1,8,17,0,0,0,0,0,1,0,0,7,0,0,0,0,9,0,0,5,1,0,1,1,1,5,2,3,1,5,0,0,0,0,0,28,0,26,3,0,2,0,6,1,0,1,0,0,0,0,0,0,0,0,7,3,3,1,9,1,0,1,3,4,0,0,0,0,1,2,4,1,3,1,0,2,10,0,0,1,6,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeetendra,3,4,13,37,3,1,14,17,2,23,3,0,0,0,1,1,0,0,46,0,0,0,0,0,3,11,55,0,1,0,0,1,0,0,0,7,0,0,3,0,8,1,1,1,1,0,0,0,8,3,2,7,0,2,1,0,1,6,28,0,1,50,6,2,1,0,13,0,0,0,0,1,3,0,0,3,0,0,1,7,2,0,11,0,0,0,0,9,0,0,0,0,0,0,5,0,5,0,0,0,14,2,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharman Joshi,0,1,1,2,0,0,1,0,0,0,2,2,0,0,2,1,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,3,0,1,3,0,1,0,3,1,2,1,0,1,0,0,0,1,2,1,0,0,1,2,2,2,0,1,0,0,1,0,0,0,0,0,3,1,1,2,1,1,3,0,3,0,4,0,0,3,1,0,0,1,0,3,1,0,0,3,0,2,0,1,0,0,1,2,1,0,3,0,0,0,2,0,0,3,2,0,2,0,1,4,0,0,0,3,2,2,0,0,3,0,1,0,1,0,0,3,1,3,1,2,0,0,1,0,0,1,0,1,1,0,0,1,2,1,0,0,1,0,0,1,0,0,2,3,1,0,1,2,1,0,0,0,0,1,1,0,2,0,1,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kader Khan,27,9,53,15,0,4,27,27,12,16,15,1,16,1,15,11,2,3,154,4,1,5,0,3,7,26,76,2,19,0,0,1,1,2,0,43,1,1,3,0,12,0,0,4,2,0,0,6,9,22,5,44,2,2,1,1,4,12,26,50,0,0,7,15,5,1,25,3,1,2,0,2,1,0,5,1,1,2,11,11,10,0,42,5,0,0,11,37,0,1,2,1,5,0,9,0,6,3,0,0,26,7,0,1,12,20,0,1,2,1,2,1,0,1,7,7,0,0,8,11,4,7,1,1,0,0,2,0,0,3,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimple Kapadia,5,2,14,2,1,0,10,1,1,3,2,2,1,1,10,3,0,1,12,3,5,0,0,0,6,13,8,0,1,0,0,0,0,0,0,6,0,0,1,0,7,0,0,5,0,0,1,0,2,10,2,3,0,2,2,1,2,6,3,6,0,7,0,3,6,1,8,1,0,1,2,0,2,2,5,3,1,2,2,8,4,0,17,1,0,1,3,4,0,0,1,0,1,0,1,2,2,0,0,0,8,6,0,0,1,12,0,0,0,5,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anil Kapoor,5,19,12,4,1,1,3,13,9,4,4,4,3,3,15,6,0,2,24,3,3,2,2,1,6,5,13,1,3,3,5,0,1,1,1,2,2,1,1,0,8,3,1,5,0,1,0,6,6,5,2,4,3,0,2,1,2,7,0,2,1,15,3,0,8,0,3,4,1,2,0,7,2,2,4,1,1,6,0,0,6,0,28,4,2,0,5,15,0,1,4,4,5,0,0,8,3,2,0,0,21,4,2,3,1,15,1,0,4,5,0,0,1,0,2,3,6,0,2,4,2,2,2,1,1,0,3,1,1,3,1,1,0,0,0,1,1,5,5,0,4,3,0,1,0,1,0,1,0,1,2,0,2,6,4,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,1,1,1,3,1,3,0,0,0,1,1,1,1,0,0,0,0,0,6,2,3,11,0,2,1,3,0,1,0,0,3,0,1,0,0,0,2,0,2,1,0,0,0,2,0,2,2,0,0,0,1,0,2,0,0,0,0,3,2,2,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,1,2,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1
Annu Kapoor,5,3,5,2,0,0,5,3,3,1,5,2,1,0,3,0,0,2,8,2,0,0,1,2,3,3,5,1,1,4,0,0,1,0,0,2,1,0,0,0,8,1,0,9,2,0,0,4,1,7,1,1,1,0,2,0,1,3,2,1,2,5,6,8,0,1,4,2,0,0,0,0,0,1,2,1,0,1,1,1,8,1,17,3,0,0,5,6,0,0,4,0,3,0,2,1,3,0,1,0,13,8,5,2,2,12,1,0,0,9,1,0,2,0,0,2,4,0,1,3,1,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajat Kapoor,1,0,1,0,0,0,0,0,1,0,0,2,0,1,1,1,0,2,0,0,0,0,0,0,3,1,0,0,1,0,3,0,2,0,2,0,0,0,0,1,0,0,0,1,1,1,0,3,0,1,3,1,2,0,4,2,0,1,0,0,1,1,1,0,1,0,2,0,0,3,2,1,0,5,3,1,1,2,0,0,2,1,4,1,0,1,1,0,1,2,6,1,2,0,0,2,0,0,14,0,1,3,4,0,0,4,0,1,1,8,0,0,0,2,0,0,10,0,0,0,0,1,0,1,1,0,3,1,1,2,1,1,2,0,1,0,0,0,1,5,0,0,3,0,12,2,0,1,1,1,1,1,0,1,2,3,0,0,0,2,1,2,2,0,0,0,0,4,0,0,0,0,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,1,4,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rishi Kapoor,7,3,15,6,3,4,8,7,12,8,6,0,0,0,5,3,0,3,15,3,1,0,0,0,7,5,18,3,10,0,0,1,0,3,0,5,1,0,9,0,8,0,2,2,0,1,0,1,9,5,1,4,0,1,3,0,1,7,6,13,0,25,8,3,4,2,0,0,0,1,1,0,1,2,3,2,0,1,1,5,9,1,14,3,1,1,3,7,0,1,0,2,2,1,7,1,3,2,0,0,16,6,2,1,1,6,0,0,0,1,1,0,2,2,0,2,2,0,17,3,0,1,0,1,2,1,0,2,2,2,0,1,1,0,0,0,0,0,3,0,3,1,1,0,1,2,0,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,2,1,0,23,1,0,0,0,0,1,1,0,1,2,1,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Supriya Karnik,1,0,4,0,1,0,1,0,0,0,4,3,1,0,4,3,1,0,13,0,2,2,1,0,3,2,0,2,4,1,2,0,0,1,0,1,1,0,0,1,0,0,0,1,2,2,0,2,0,4,4,4,3,0,2,0,0,2,1,0,0,3,1,4,2,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,2,0,2,0,1,0,7,4,0,0,2,0,1,0,0,1,1,1,0,1,4,5,3,3,0,5,0,1,1,1,0,2,0,1,1,4,2,0,0,1,2,6,0,1,0,0,1,0,0,6,0,1,1,1,3,0,0,1,0,4,2,2,0,0,0,3,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunal Kemmu,0,2,3,0,0,1,1,0,1,0,3,1,1,0,0,1,0,1,2,0,1,4,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,5,0,4,0,0,0,0,4,0,1,1,0,0,1,1,0,1,0,0,0,0,0,2,2,5,0,0,2,0,0,0,0,1,1,1,0,0,0,0,2,4,0,0,2,0,1,0,0,0,2,0,1,1,0,2,3,0,0,4,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2,1,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,4,4,0,1,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aamir Khan,3,2,3,0,0,3,1,0,8,0,1,4,2,1,2,3,1,1,2,1,0,1,0,1,1,0,0,2,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,2,0,1,0,2,0,3,1,1,1,0,1,0,3,1,1,0,2,2,1,2,0,3,1,0,2,0,1,0,0,0,3,3,1,1,0,1,7,0,4,2,0,2,1,4,3,2,1,5,1,0,2,1,0,1,1,1,1,5,1,1,1,6,2,0,0,4,0,0,0,1,1,0,1,0,1,2,1,1,1,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,1,1,0,1,0,1,0,0,1,0,0,5,1,1,0,0,0,0,2,4,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
